id,label
aai,aai
adj,adj
adv,adv
aem,aem
ais,ais
aiu,aiu
ajf,ajf
ajy,ajy
amu,amu
aor,aor
apb,apb
apg,apg
apr,apr
aqg,aqg
aqy,aqy
ara,ara
arm,arm
ask,ask
asp,asp
ata,ata
aug,aug
aum,aum
auy,auy
axp,axp
azb,azb
azi,azi
azr,azr
bag,bag
bce,bce
bcx,bcx
bdg,bdg
bfh,bfh
bfk,bfk
bgd,bgd
bgr,bgr
bhd,bhd
bhl,bhl
bix,bix
bjd,bjd
bkz,bkz
blh,blh
bli,bli
bmv,bmv
bny,bny
bnz,bnz
bpk,bpk
bqn,bqn
buo,buo
bvf,bvf
bwt,bwt
bxh,bxh
bxs,bxs
byg,byg
cac,cac
cbh,cbh
cby,cby
ccp,ccp
ccq,ccq
cgh,cgh
cgm,cgm
cjq,cjq
cjs,cjs
cmw,cmw
cmx,cmx
coz,coz
cpg,cpg
cpi,cpi
crh,crh
crt,crt
csv,csv
csx,csx
ctu,ctu
cvb,cvb
cve,cve
cxz,cxz
cya,cya
cyi,cyi
cze,cze
dac,dac
dbo,dbo
dcb,dcb
dck,dck
dcz,dcz
ddg,ddg
ddp,ddp
dgw,dgw
dhj,dhj
dja,dja
dli,dli
doi,doi
dsb,dsb
dsq,dsq
dvg,dvg
dvm,dvm
dws,dws
dxk,dxk
dxu,dxu
eeu,eeu
egi,egi
ehe,ehe
ejj,ejj
ekr,ekr
elb,elb
elg,elg
elj,elj
elq,elq
emj,emj
epp,epp
eqo,eqo
eqv,eqv
eqz,eqz
ers,ers
esh,esh
eus,eus
evw,evw
ewo,ewo
exf,exf
eyy,eyy
fad,fad
fbl,fbl
fbo,fbo
fbs,fbs
fed,fed
fft,fft
fgg,fgg
fgq,fgq
fgr,fgr
fhl,fhl
fks,fks
flz,flz
fnd,fnd
fny,fny
fod,fod
fpk,fpk
fsc,fsc
fss,fss
fuk,fuk
fwb,fwb
fwz,fwz
fxq,fxq
fxv,fxv
fxx,fxx
fya,fya
gam,gam
gbi,gbi
gbo,gbo
gcu,gcu
gdx,gdx
gem,gem
gfc,gfc
gfd,gfd
gfe,gfe
gga,gga
ghc,ghc
gix,gix
gjn,gjn
gkc,gkc
gkk,gkk
gks,gks
glp,glp
gly,gly
gnn,gnn
gnt,gnt
goa,goa
gpp,gpp
gpr,gpr
gqb,gqb
grr,grr
gta,gta
gus,gus
gvq,gvq
gws,gws
gxf,gxf
gxl,gxl
gyo,gyo
gza,gza
har,har
hcl,hcl
hdr,hdr
hem,hem
hfb,hfb
hii,hii
hik,hik
hjk,hjk
hjx,hjx
hkc,hkc
hla,hla
hll,hll
hnr,hnr
hoc,hoc
hop,hop
how,how
hoz,hoz
hpc,hpc
hpx,hpx
hql,hql
hsy,hsy
hta,hta
hti,hti
htn,htn
huj,huj
hup,hup
hvf,hvf
hvg,hvg
hvl,hvl
hwy,hwy
hxk,hxk
hyn,hyn
ias,ias
icp,icp
icq,icq
idn,idn
idw,idw
iez,iez
ifr,ifr
ijw,ijw
imh,imh
imo,imo
ini,ini
inv,inv
iob,iob
ipb,ipb
ipe,ipe
iqc,iqc
iry,iry
isj,isj
isl,isl
isv,isv
iti,iti
iuz,iuz
iwh,iwh
ixb,ixb
ixd,ixd
iyi,iyi
jaj,jaj
jbf,jbf
jbh,jbh
jbj,jbj
jbz,jbz
jeu,jeu
jgb,jgb
jgp,jgp
jgq,jgq
jhj,jhj
jiv,jiv
jjp,jjp
jlk,jlk
jmc,jmc
jmt,jmt
jpe,jpe
jpo,jpo
jrd,jrd
jsp,jsp
jsw,jsw
jur,jur
jvs,jvs
jvy,jvy
jwf,jwf
jwx,jwx
jwy,jwy
jxc,jxc
kab,kab
kac,kac
kbu,kbu
kda,kda
kfy,kfy
kfz,kfz
khs,khs
khy,khy
kim,kim
kiw,kiw
kjk,kjk
kkz,kkz
kll,kll
kna,kna
knx,knx
koe,koe
kpl,kpl
kqd,kqd
kqi,kqi
ksh,ksh
ktk,ktk
kto,kto
ktr,ktr
kve,kve
kxl,kxl
kye,kye
lho,lho
lid,lid
ljk,ljk
lng,lng
lnq,lnq
lnz,lnz
lpd,lpd
lpj,lpj
lqv,lqv
ltp,ltp
lua,lua
lug,lug
lwo,lwo
lwu,lwu
lxi,lxi
lxz,lxz
lzo,lzo
mam,mam
mbs,mbs
mbz,mbz
mef,mef
mfm,mfm
mhv,mhv
mib,mib
mjc,mjc
mjn,mjn
mkb,mkb
mmb,mmb
mms,mms
mnh,mnh
mnn,mnn
mny,mny
moo,moo
mpm,mpm
mpn,mpn
mpy,mpy
mrs,mrs
mup,mup
mvv,mvv
mwx,mwx
mxt,mxt
mzc,mzc
nal,nal
naz,naz
nbk,nbk
ncv,ncv
nef,nef
nei,nei
nfq,nfq
ngs,ngs
nhv,nhv
nij,nij
njk,njk
njl,njl
nlg,nlg
nmk,nmk
nnk,nnk
npb,npb
npr,npr
nqc,nqc
nrj,nrj
nsh,nsh
ntb,ntb
nul,nul
nyc,nyc
nyz,nyz
nzm,nzm
ocu,ocu
odq,odq
ofy,ofy
ogg,ogg
ogt,ogt
ohn,ohn
ohu,ohu
oij,oij
oim,oim
oiq,oiq
ojy,ojy
ont,ont
oou,oou
opd,opd
oqh,oqh
ory,ory
oug,oug
oup,oup
out,out
owv,owv
oxk,oxk
oxq,oxq
oym,oym
paf,paf
paw,paw
pbi,pbi
pdu,pdu
pfm,pfm
pfw,pfw
pgc,pgc
pgs,pgs
phi,phi
phm,phm
pik,pik
pix,pix
pja,pja
pjh,pjh
pjt,pjt
pkh,pkh
plw,plw
plx,plx
pna,pna
pnd,pnd
poq,poq
pph,pph
ppj,ppj
prt,prt
psc,psc
ptq,ptq
pum,pum
pvw,pvw
pvx,pvx
pwn,pwn
pxe,pxe
qab,qab
qcd,qcd
qex,qex
qfl,qfl
qkx,qkx
qmq,qmq
qop,qop
qpt,qpt
qpy,qpy
qql,qql
qqz,qqz
qrs,qrs
qry,qry
qsu,qsu
qua,qua
quj,quj
qxz,qxz
qyc,qyc
qzt,qzt
rad,rad
raj,raj
rbv,rbv
rch,rch
rco,rco
rds,rds
rdv,rdv
rea,rea
red,red
rem,rem
ret,ret
rfo,rfo
rgv,rgv
rie,rie
rii,rii
rkw,rkw
rmv,rmv
rno,rno
rol,rol
roy,roy
rpc,rpc
rpi,rpi
rpw,rpw
rqj,rqj
rsz,rsz
rto,rto
rws,rws
rwv,rwv
rxb,rxb
rxz,rxz
ryc,ryc
rzv,rzv
rzw,rzw
sac,sac
sgl,sgl
sgt,sgt
shj,shj
sig,sig
sik,sik
sko,sko
slp,slp
smw,smw
sne,sne
spk,spk
spz,spz
sth,sth
sud,sud
svj,svj
svk,svk
svr,svr
syl,syl
szn,szn
tak,tak
tcq,tcq
tdh,tdh
tdl,tdl
teb,teb
tfc,tfc
tgl,tgl
thg,thg
tls,tls
tlw,tlw
tmb,tmb
tnz,tnz
toh,toh
top,top
tpd,tpd
trk,trk
tto,tto
tts,tts
ttu,ttu
tup,tup
tvq,tvq
tvr,tvr
tvu,tvu
txf,txf
ubd,ubd
ucn,ucn
ufr,ufr
ufu,ufu
ufw,ufw
uha,uha
uks,uks
unm,unm
unz,unz
ush,ush
usq,usq
utw,utw
uue,uue
uvj,uvj
uvr,uvr
uww,uww
uxf,uxf
uxg,uxg
uxq,uxq
uyx,uyx
uzn,uzn
uzr,uzr
vcm,vcm
veo,veo
vfk,vfk
vfm,vfm
vfq,vfq
vhb,vhb
vhx,vhx
vis,vis
vkn,vkn
vli,vli
vlq,vlq
vma,vma
vmn,vmn
vna,vna
vnn,vnn
vnv,vnv
vqv,vqv
vta,vta
vth,vth
vul,vul
vve,vve
vwn,vwn
vwo,vwo
vwr,vwr
vxo,vxo
vxq,vxq
vzq,vzq
way,way
wfb,wfb
wfw,wfw
wgn,wgn
wgo,wgo
wid,wid
wkk,wkk
wmx,wmx
wnf,wnf
wno,wno
wow,wow
woz,woz
wrx,wrx
wsr,wsr
wsv,wsv
wte,wte
wto,wto
wuc,wuc
wuw,wuw
wwc,wwc
wwt,wwt
xaf,xaf
xaz,xaz
xbr,xbr
xdm,xdm
xdx,xdx
xdz,xdz
xfa,xfa
xha,xha
xhy,xhy
xhz,xhz
xic,xic
xif,xif
xkc,xkc
xlf,xlf
xln,xln
xmp,xmp
xmv,xmv
xou,xou
xpd,xpd
xpe,xpe
xpr,xpr
xqb,xqb
xrj,xrj
xul,xul
xvh,xvh
xvj,xvj
xwh,xwh
xwu,xwu
xxp,xxp
xyb,xyb
xym,xym
xyw,xyw
xzr,xzr
ydt,ydt
yep,yep
yfg,yfg
yhw,yhw
yiw,yiw
yks,yks
yln,yln
ylo,ylo
ymj,ymj
ymw,ymw
ynl,ynl
yof,yof
you,you
ypi,ypi
yqi,yqi
yra,yra
yrs,yrs
ytp,ytp
yup,yup
ywc,ywc
yxw,yxw
yyj,yyj
yyu,yyu
yyy,yyy
yzk,yzk
yzv,yzv
zau,zau
zbs,zbs
zcw,zcw
zdd,zdd
zee,zee
zfp,zfp
zgb,zgb
zgz,zgz
zjc,zjc
zjg,zjg
zjh,zjh
zkf,zkf
zlc,zlc
zlo,zlo
zpa,zpa
zpn,zpn
zpq,zpq
zpz,zpz
zrh,zrh
zrk,zrk
zru,zru
zsh,zsh
zts,zts
zuk,zuk
zuy,zuy
zwb,zwb
zwu,zwu
zxd,zxd
zys,zys
